Main Reason to Travel,Most Important Factor for Trip Planning,Favorite Activity,Most Appealing Destination,Ideal Group Size,Gender,Student,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Recommendation
To learn more about a language or a culture,Time,Farm,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To learn more about a language or a culture,Time,Islands,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To relax and escape work and responsibilities,Time,Snorkel,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To relax and escape work and responsibilities,Time,Hike,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To relax and escape work and responsibilities,Time,Wildlife,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To relax and escape work and responsibilities,Time,Food,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To relax and escape work and responsibilities,Time,Vegetation,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To relax and escape work and responsibilities,Time,Farm,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To relax and escape work and responsibilities,Time,Islands,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To spend quality time with family/friends,Time,Snorkel,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To spend quality time with family/friends,Time,Hike,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To spend quality time with family/friends,Time,Wildlife,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To spend quality time with family/friends,Time,Food,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To spend quality time with family/friends,Time,Vegetation,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To spend quality time with family/friends,Time,Farm,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To spend quality time with family/friends,Time,Islands,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To explore architecture and history,Time,Snorkel,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To explore architecture and history,Time,Hike,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To explore architecture and history,Time,Wildlife,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To explore architecture and history,Time,Food,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To explore architecture and history,Time,Vegetation,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To explore architecture and history,Time,Farm,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To explore architecture and history,Time,Islands,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To go on an adventure,Time,Snorkel,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To go on an adventure,Time,Hike,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To go on an adventure,Time,Wildlife,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To go on an adventure,Time,Food,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To go on an adventure,Time,Vegetation,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To go on an adventure,Time,Farm,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To go on an adventure,Time,Islands,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To look at and appreciate beautiful places,Time,Snorkel,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To look at and appreciate beautiful places,Time,Hike,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To look at and appreciate beautiful places,Time,Wildlife,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To look at and appreciate beautiful places,Time,Food,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To look at and appreciate beautiful places,Time,Vegetation,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To look at and appreciate beautiful places,Time,Farm,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To look at and appreciate beautiful places,Time,Islands,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To share travel stories and view with friends and family back home,Time,Snorkel,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To share travel stories and view with friends and family back home,Time,Hike,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To share travel stories and view with friends and family back home,Time,Wildlife,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To share travel stories and view with friends and family back home,Time,Food,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To share travel stories and view with friends and family back home,Time,Vegetation,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To share travel stories and view with friends and family back home,Time,Farm,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To share travel stories and view with friends and family back home,Time,Islands,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Colombia/Ecuador
To meet new people,Budget,Family,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To meet new people,Budget,History,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To meet new people,Budget,Beach,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To meet new people,Budget,Food,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To meet new people,Budget,Museum,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To meet new people,Budget,Cinema,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To see the wonders of nature,Budget,Family,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To see the wonders of nature,Budget,History,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To see the wonders of nature,Budget,Beach,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To see the wonders of nature,Budget,Food,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To see the wonders of nature,Budget,Museum,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To see the wonders of nature,Budget,Cinema,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To spend quality time with family/friends,Budget,Family,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To spend quality time with family/friends,Budget,History,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To spend quality time with family/friends,Budget,Beach,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To spend quality time with family/friends,Budget,Food,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To spend quality time with family/friends,Budget,Museum,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To spend quality time with family/friends,Budget,Cinema,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To explore architecture and history,Budget,Family,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To explore architecture and history,Budget,History,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To explore architecture and history,Budget,Beach,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To explore architecture and history,Budget,Food,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To explore architecture and history,Budget,Museum,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To explore architecture and history,Budget,Cinema,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To go on an adventure,Budget,Family,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To go on an adventure,Budget,History,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To go on an adventure,Budget,Beach,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To go on an adventure,Budget,Food,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To go on an adventure,Budget,Museum,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To go on an adventure,Budget,Cinema,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To look at and appreciate beautiful places,Budget,Family,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To look at and appreciate beautiful places,Budget,History,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To look at and appreciate beautiful places,Budget,Beach,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To look at and appreciate beautiful places,Budget,Food,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To look at and appreciate beautiful places,Budget,Museum,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To look at and appreciate beautiful places,Budget,Cinema,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt/Jordan/Lebanon
To spend quality time with family/friends,Budget,Family,An all-inclusive resort,4,Male,Yes,4,5,3,6,6,Mexico/Costa Rica/El Salvador
To spend quality time with family/friends,Budget,Road Trips,An all-inclusive resort,4,Male,Yes,4,5,3,6,6,Mexico/Costa Rica/El Salvador
To see the wonders of nature,Aesthetic of destination,Scuba Dive,An overnight backpacking trip on a volcano,3,Male,Yes,6,3,7,4,2,Carribean Islands
To see the wonders of nature,Aesthetic of destination,Food,An overnight backpacking trip on a volcano,3,Male,Yes,6,3,7,4,2,Carribean Islands
To learn more about a language or a culture,Aesthetic of destination,Scuba Dive,An overnight backpacking trip on a volcano,3,Male,Yes,6,3,7,4,2,Carribean Islands
To learn more about a language or a culture,Aesthetic of destination,Food,An overnight backpacking trip on a volcano,3,Male,Yes,6,3,7,4,2,Carribean Islands
To relax and escape work and responsibilities,Aesthetic of destination,Scuba Dive,An overnight backpacking trip on a volcano,3,Male,Yes,6,3,7,4,2,Carribean Islands
To relax and escape work and responsibilities,Aesthetic of destination,Food,An overnight backpacking trip on a volcano,3,Male,Yes,6,3,7,4,2,Carribean Islands
To spend quality time with family/friends,Aesthetic of destination,Scuba Dive,An overnight backpacking trip on a volcano,3,Male,Yes,6,3,7,4,2,Carribean Islands
To spend quality time with family/friends,Aesthetic of destination,Food,An overnight backpacking trip on a volcano,3,Male,Yes,6,3,7,4,2,Carribean Islands
To explore architecture and history,Aesthetic of destination,Scuba Dive,An overnight backpacking trip on a volcano,3,Male,Yes,6,3,7,4,2,Carribean Islands
To explore architecture and history,Aesthetic of destination,Food,An overnight backpacking trip on a volcano,3,Male,Yes,6,3,7,4,2,Carribean Islands
To go on an adventure,Aesthetic of destination,Scuba Dive,An overnight backpacking trip on a volcano,3,Male,Yes,6,3,7,4,2,Carribean Islands
To go on an adventure,Aesthetic of destination,Food,An overnight backpacking trip on a volcano,3,Male,Yes,6,3,7,4,2,Carribean Islands
To look at and appreciate beautiful places,Aesthetic of destination,Scuba Dive,An overnight backpacking trip on a volcano,3,Male,Yes,6,3,7,4,2,Carribean Islands
To look at and appreciate beautiful places,Aesthetic of destination,Food,An overnight backpacking trip on a volcano,3,Male,Yes,6,3,7,4,2,Carribean Islands
To share travel stories and view with friends and family back home,Aesthetic of destination,Scuba Dive,An overnight backpacking trip on a volcano,3,Male,Yes,6,3,7,4,2,Carribean Islands
To share travel stories and view with friends and family back home,Aesthetic of destination,Food,An overnight backpacking trip on a volcano,3,Male,Yes,6,3,7,4,2,Carribean Islands
To look at and appreciate beautiful places,Budget,Tourist Attractions,A big metropolitan city,3,Male,Yes,2,4,2,5,5,France
To look at and appreciate beautiful places,Budget,Food,A big metropolitan city,3,Male,Yes,2,4,2,5,5,France
To meet new people,Variety of activities at destination,Concert,An old city with interesting architecture,3,Female,Yes,7,3,4,5,5,France
To meet new people,Variety of activities at destination,Sightsee,An old city with interesting architecture,3,Female,Yes,7,3,4,5,5,France
To meet new people,Variety of activities at destination,Art Gallery,An old city with interesting architecture,3,Female,Yes,7,3,4,5,5,France
To meet new people,Variety of activities at destination,Museum,An old city with interesting architecture,3,Female,Yes,7,3,4,5,5,France
To meet new people,Variety of activities at destination,Food,An old city with interesting architecture,3,Female,Yes,7,3,4,5,5,France
To relax and escape work and responsibilities,Variety of activities at destination,Sightsee,An all-inclusive resort,3,Female,Yes,3,3,2,2,4,France
To relax and escape work and responsibilities,Variety of activities at destination,Museum,An all-inclusive resort,3,Female,Yes,3,3,2,2,4,France
To relax and escape work and responsibilities,Variety of activities at destination,Watch Football,An all-inclusive resort,3,Female,Yes,3,3,2,2,4,France
To relax and escape work and responsibilities,Variety of activities at destination,Shop,An all-inclusive resort,3,Female,Yes,3,3,2,2,4,France
To spend quality time with family/friends,Variety of activities at destination,Sightsee,An all-inclusive resort,3,Female,Yes,3,3,2,2,4,France
To spend quality time with family/friends,Variety of activities at destination,Museum,An all-inclusive resort,3,Female,Yes,3,3,2,2,4,France
To spend quality time with family/friends,Variety of activities at destination,Watch Football,An all-inclusive resort,3,Female,Yes,3,3,2,2,4,France
To spend quality time with family/friends,Variety of activities at destination,Shop,An all-inclusive resort,3,Female,Yes,3,3,2,2,4,France
To look at and appreciate beautiful places,Variety of activities at destination,Sightsee,An all-inclusive resort,3,Female,Yes,3,3,2,2,4,France
To look at and appreciate beautiful places,Variety of activities at destination,Museum,An all-inclusive resort,3,Female,Yes,3,3,2,2,4,France
To look at and appreciate beautiful places,Variety of activities at destination,Watch Football,An all-inclusive resort,3,Female,Yes,3,3,2,2,4,France
To look at and appreciate beautiful places,Variety of activities at destination,Shop,An all-inclusive resort,3,Female,Yes,3,3,2,2,4,France
To meet new people,Proximity to nature,City,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To meet new people,Proximity to nature,Nightlife,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To meet new people,Proximity to nature,Bars,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To meet new people,Proximity to nature,Science Center,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To meet new people,Proximity to nature,Ski,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To meet new people,Proximity to nature,Countryside,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To see the wonders of nature,Proximity to nature,City,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To see the wonders of nature,Proximity to nature,Nightlife,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To see the wonders of nature,Proximity to nature,Bars,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To see the wonders of nature,Proximity to nature,Science Center,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To see the wonders of nature,Proximity to nature,Ski,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To see the wonders of nature,Proximity to nature,Countryside,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To learn more about a language or a culture,Proximity to nature,City,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To learn more about a language or a culture,Proximity to nature,Nightlife,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To learn more about a language or a culture,Proximity to nature,Bars,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To learn more about a language or a culture,Proximity to nature,Science Center,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To learn more about a language or a culture,Proximity to nature,Ski,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To learn more about a language or a culture,Proximity to nature,Countryside,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To relax and escape work and responsibilities,Proximity to nature,City,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To relax and escape work and responsibilities,Proximity to nature,Nightlife,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To relax and escape work and responsibilities,Proximity to nature,Bars,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To relax and escape work and responsibilities,Proximity to nature,Science Center,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To relax and escape work and responsibilities,Proximity to nature,Ski,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To relax and escape work and responsibilities,Proximity to nature,Countryside,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To go on an adventure,Proximity to nature,City,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To go on an adventure,Proximity to nature,Nightlife,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To go on an adventure,Proximity to nature,Bars,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To go on an adventure,Proximity to nature,Science Center,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To go on an adventure,Proximity to nature,Ski,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To go on an adventure,Proximity to nature,Countryside,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To look at and appreciate beautiful places,Proximity to nature,City,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To look at and appreciate beautiful places,Proximity to nature,Nightlife,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To look at and appreciate beautiful places,Proximity to nature,Bars,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To look at and appreciate beautiful places,Proximity to nature,Science Center,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To look at and appreciate beautiful places,Proximity to nature,Ski,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To look at and appreciate beautiful places,Proximity to nature,Countryside,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany
To see the wonders of nature,Variety of activities at destination,History,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To see the wonders of nature,Variety of activities at destination,Food,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To see the wonders of nature,Variety of activities at destination,Photography,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To see the wonders of nature,Variety of activities at destination,Friends,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To see the wonders of nature,Variety of activities at destination,Tourist Attractions,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To see the wonders of nature,Variety of activities at destination,Family,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To relax and escape work and responsibilities,Variety of activities at destination,History,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To relax and escape work and responsibilities,Variety of activities at destination,Food,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To relax and escape work and responsibilities,Variety of activities at destination,Photography,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To relax and escape work and responsibilities,Variety of activities at destination,Friends,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To relax and escape work and responsibilities,Variety of activities at destination,Tourist Attractions,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To relax and escape work and responsibilities,Variety of activities at destination,Family,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To spend quality time with family/friends,Variety of activities at destination,History,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To spend quality time with family/friends,Variety of activities at destination,Food,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To spend quality time with family/friends,Variety of activities at destination,Photography,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To spend quality time with family/friends,Variety of activities at destination,Friends,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To spend quality time with family/friends,Variety of activities at destination,Tourist Attractions,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To spend quality time with family/friends,Variety of activities at destination,Family,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To explore architecture and history,Variety of activities at destination,History,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To explore architecture and history,Variety of activities at destination,Food,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To explore architecture and history,Variety of activities at destination,Photography,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To explore architecture and history,Variety of activities at destination,Friends,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To explore architecture and history,Variety of activities at destination,Tourist Attractions,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To explore architecture and history,Variety of activities at destination,Family,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To go on an adventure,Variety of activities at destination,History,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To go on an adventure,Variety of activities at destination,Food,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To go on an adventure,Variety of activities at destination,Photography,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To go on an adventure,Variety of activities at destination,Friends,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To go on an adventure,Variety of activities at destination,Tourist Attractions,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To go on an adventure,Variety of activities at destination,Family,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To look at and appreciate beautiful places,Variety of activities at destination,History,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To look at and appreciate beautiful places,Variety of activities at destination,Food,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To look at and appreciate beautiful places,Variety of activities at destination,Photography,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To look at and appreciate beautiful places,Variety of activities at destination,Friends,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To look at and appreciate beautiful places,Variety of activities at destination,Tourist Attractions,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To look at and appreciate beautiful places,Variety of activities at destination,Family,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany
To meet new people,Budget,Food,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To meet new people,Budget,Culture,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To meet new people,Budget,History,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To meet new people,Budget,Clubbing,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To see the wonders of nature,Budget,Food,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To see the wonders of nature,Budget,Culture,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To see the wonders of nature,Budget,History,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To see the wonders of nature,Budget,Clubbing,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To learn more about a language or a culture,Budget,Food,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To learn more about a language or a culture,Budget,Culture,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To learn more about a language or a culture,Budget,History,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To learn more about a language or a culture,Budget,Clubbing,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To spend quality time with family/friends,Budget,Food,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To spend quality time with family/friends,Budget,Culture,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To spend quality time with family/friends,Budget,History,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To spend quality time with family/friends,Budget,Clubbing,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To explore architecture and history,Budget,Food,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To explore architecture and history,Budget,Culture,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To explore architecture and history,Budget,History,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To explore architecture and history,Budget,Clubbing,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To go on an adventure,Budget,Food,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To go on an adventure,Budget,Culture,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To go on an adventure,Budget,History,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To go on an adventure,Budget,Clubbing,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To look at and appreciate beautiful places,Budget,Food,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To look at and appreciate beautiful places,Budget,Culture,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To look at and appreciate beautiful places,Budget,History,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To look at and appreciate beautiful places,Budget,Clubbing,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany
To see the wonders of nature,Proximity to nature,Hike,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To see the wonders of nature,Proximity to nature,Swim,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To see the wonders of nature,Proximity to nature,Pool,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
To see the wonders of nature,Proximity to nature,Surf,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Carribean Islands
