Timestamp	Reason to Travel	Important Factors for Trip Planning	Most Important Factor for Trip Planning	Have you traveled outside of your home country before?	Favorite Destination	Why was it your favorite?	Favorite Activities	How many people did you travel with?	Overall, how satisfied were you with your favorite destination?	Least Favorite Destination	Why was it your least favorite?	Least Favorite Activitie	How many people did you travel with?	Overall, how satisfied were you with your LEAST favorite destination?	Most Appealing Destination	Ideal Group Size	Are you comfortable flying on a plane?	Gender	Student	Have you been on exchange in the past or plan on going in the future?	If you answered yes to above, which city were you going to go to?	Openness	Conscientiousness	Extraversion	Agreeableness	Neuroticism
12/4/2020 6:04:05	To see the wonders of nature, To relax and escape work and responsibilities, To go on an adventure, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination, Travel group size	Variety of activities at destination	Yes	Vancouver		Hike, bike, run, shop, drink, eat at restaurants	5	7	Dominican Republic		Eat, sleep, lounge, drink	2	2	An overnight backpacking trip on a volcano	4	Yes	Female	Yes	Yes	Lund	5	6	6	6	4
12/4/2020 6:04:53	To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Variety of activities at destination, Proximity to nature, Aesthetic of destination, Travel group size	Aesthetic of destination	Yes	Asia		Eating out, sight seeing	2	7	None		N/A			A big metropolitan city	2	Yes	Female	Yes	No		4	7	3	5	3
12/4/2020 6:08:18	To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination, Aesthetic of destination	Overall quality of general experience	Yes	Thailand		Attend school and travel surrounding regions	1	7	Hong Kong		Break up with my ex	2	5	An old city with interesting architecture	4	Yes	Male	No	Yes	Bangkok	6	6	6	6	5
12/4/2020 6:10:06	To relax and escape work and responsibilities	Budget, Time, Variety of activities at destination, Aesthetic of destination	Time	Yes	Europe		Culture	5	5	Matanza		Disco dancing	5	1	An overnight backpacking trip on a volcano	1	Yes	Male	No	No		5	5	3	1	3
12/4/2020 6:10:35	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Proximity to other destinations, Time, Proximity to nature	Proximity to nature	Yes	Kenya		Building a school, travelling to markets, visiting safaris, learning about the kenyan culture	5	5	Niagara Falls		Watch the falls, explore some of the nightlife, visit museums	3	3	An old city with interesting architecture	4	Yes	Male	No	No		5	3	5	6	5
12/4/2020 6:10:39	To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Time, Variety of activities at destination, Aesthetic of destination	Time	Yes	Cancun		Golf, party, relax	5	6	Edmonton		Virtual golf, visit friends	1	1	A big metropolitan city	5	Yes	Male	No	No		5	7	4	7	2
12/4/2020 6:10:44	To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Time, Variety of activities at destination, Aesthetic of destination	Time	Yes	Cancun		Golf, party, relax	5	6	Edmonton		Virtual golf, visit friends	1	1	A big metropolitan city	5	Yes	Male	No	No		5	7	4	7	2
12/4/2020 6:16:01	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Proximity to other destinations, Time, Variety of activities at destination, Aesthetic of destination, Travel group size	Variety of activities at destination	Yes	Vietnam		Biking, Eating, Sightseeing, exploring party scene, souvenir shopping 	5	7	Bali		Swimming, Clubbing, SightSeeing 	5	2	A big metropolitan city	4	Yes	Female	Yes	Yes	Singapore	5	5	6	5	5
12/4/2020 6:28:42	To see the wonders of nature, To explore architecture and history	Budget, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Aesthetic of destination	Yes	London, England		Museum, tours, shows, walking tours, visit local university campuses	3	7	New York State (Buffalo + surrounding area)		Hike, shop	3	6	An old city with interesting architecture	4	Yes	Female	Yes	Yes	Lund, Sweden	5	6	3	5	3
12/4/2020 6:30:42	To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Proximity to nature, Aesthetic of destination, Travel group size	Aesthetic of destination	Yes	Fiji		Scuba diving, food tourism	2	6	India		Visit extended family, urban tourism	5	4	An overnight backpacking trip on a volcano	3	Yes	Male	Yes	No		6	3	7	4	2
12/4/2020 6:41:41	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Time, Proximity to nature	Proximity to nature	Yes	Amalfi Coast, Italy		Hike, eat pizza, enjoy the sights	1	1	Paris, France (worst experience, not worst destination)		Stayed in a crappy hostel with super loud and drunk people, walked everywhere, saw sights	1	3	An overnight backpacking trip on a volcano	3	Yes	Female	Yes	No		5	5	3	5	3
12/4/2020 6:44:39	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Time, Variety of activities at destination	Time	Yes	Cancun		Play golf, party, drink, beach	5	7	Toronto		Work	1	2	A relaxing day at the beach	4	Yes	Male	No	No		6	7	6	5	2
12/4/2020 6:52:41	To learn more about a language or a culture, To relax and escape work and responsibilities, To look at and appreciate beautiful places	Time, Variety of activities at destination	Time	Yes	London		Learn about the rich history of the city, go to see famous sport venues, hop on the tube, explore the towns nearby, try new food, go to pubs.	3	7	Miami		shopping, see the city, go to the beach but lots of people and no help from them	5	3	An old city with interesting architecture	4	Yes	Male	Yes	Yes	Halifax, Canada and Lund, Sweden	3	4	6	6	5
12/4/2020 6:56:21	To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination, Aesthetic of destination, Travel group size	Variety of activities at destination	Yes	New york city		Typical tourist attractions, popular restaurants	2	6	London		Typical tourist attractions	5	4	A big metropolitan city	3	Yes	Male	Yes	No		2	5	3	7	2
12/4/2020 7:37:54	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination	Budget	Yes	Australia		road trip, beach/swim, boat to island, shop, restaurants in city, camp, kayak, zoo, skydiving, get a tattoo, travel to other cities, hiking...	5	7	Can't think of one, sorry. 					A hang gliding ride over a lush field	4	Yes	Female	Yes	Yes	Brisbane, Australia	6	2	6	5	3
12/4/2020 8:24:06	To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Proximity to other destinations, Time, Variety of activities at destination, Aesthetic of destination	Variety of activities at destination	Yes	Seoul, South Korea		Ate lots of Korean food, went window shopping, street food, walked around enjoying the sites, took photos	3	6	Hainan, China		Play in the cold ocean, get sunburnt in the pool	5	3	A hang gliding ride over a lush field	4	Yes	Female	Yes	Yes	Singapore	6	5	4	5	5
12/4/2020 8:37:24	To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Time, Aesthetic of destination, Golf	Budget	Yes	South korea		See family, explore culture,	1	7	Cuba		Tried to golf and enjoy the beaches but colleague got sick	2	3	An overnight backpacking trip on a volcano	4	Yes	Male	No	No		5	4	6	4	4
12/4/2020 9:32:31	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Proximity to other destinations, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination, Travel group size	Aesthetic of destination	Yes	Dublin, Irrland		Explored culture, architecture and food	1	6	United States		Visitted family 	1	4	An old city with interesting architecture	3	Yes	Female	Yes	No		6	5	6	7	5
12/4/2020 10:19:08	To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To go on an adventure, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Variety of activities at destination, Aesthetic of destination, Transport: if it's possible to go by train instead of flight	Budget	Yes	Cinque terre, Italy 		Hiking, exploring downtown, restaurants, gelato, swimming in the ocean, exploring small local stores,  sunbathing 	2	7	Sperlonga, Italy		Sunbathing, swimming, hanging out by the pool, reading	2	4	An old city with interesting architecture	2	Yes	Female	Yes	No		5	4	6	6	5
12/4/2020 11:44:53	To learn more about a language or a culture, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Variety of activities at destination, Aesthetic of destination	Budget	Yes	Saint Petersburg		Visit historical places, museums, partying, experience a very different culture	3	7	Turin, Italy 		Museums, food	2	4	An old city with interesting architecture	3	Yes	Female	Yes	Yes	Vienna	6	3	6	5	4
12/4/2020 12:21:59	To relax and escape work and responsibilities, To spend quality time with family/friends, To go on an adventure	Budget, Time, Variety of activities at destination	Budget	Yes	Namibia		safari, exploring different landscapes of the country 	5	7	Can't think of one					An overnight backpacking trip on a volcano	4	Yes	Female	Yes	Yes	Lund 	5	4	6	5	3
12/4/2020 13:05:48	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To explore architecture and history, To go on an adventure, To share travel stories and view with friends and family back home	Budget, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Aesthetic of destination	Yes	Shanghai		Try new food, meet locals, enjoy city line view from sky terraces and skyscrapers, dance workshops, party	1	7	Pathong, Thailand		Leave asap	2	1	An overnight backpacking trip on a volcano	4	No	Female	Yes	No		7	6	7	4	3
12/4/2020 13:09:43	To meet new people, To see the wonders of nature, To spend quality time with family/friends, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination	Budget	Yes	Malta		Try local food, visit historical places, party, find beautiful beaches	2	6						An all-inclusive resort	3	Yes	Male	Yes	No		5	4	6	7	4
12/4/2020 13:49:56	To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Proximity to other destinations, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination, Travel group size	Variety of activities at destination	Yes	London, UK		Visited art galleries, museums 	3	6	Pittsburgh, US		Local sights 	5	4	An overnight backpacking trip on a volcano	4	Yes	Female	Yes	No		6	2	4	5	3
12/4/2020 14:09:53	To go on an adventure	Budget, Variety of activities at destination, Aesthetic of destination, Travel group size	Budget	Yes	Cinque Terre, Italy		hiking, swimming, tanning, photography, city exploring	1	7	Bangladesh		volunteer tourism	5	2	An old city with interesting architecture	2	Yes	Female	Yes	No		5	5	5	4	4
12/4/2020 14:12:42	To see the wonders of nature, To explore architecture and history, To look at and appreciate beautiful places	Budget, Variety of activities at destination, Aesthetic of destination	Aesthetic of destination	No											An old city with interesting architecture	4	Yes	Male	No	No		6	5	3	4	3
12/4/2020 14:22:20	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Variety of activities at destination, Proximity to nature, Travel group size	Budget	Yes	Big Island, Hawaii		Volunteer work, sightseeing, camping, swimming, snorkelling 	1	7	Copenhagen, Denmark		Shopping	5	5	An old city with interesting architecture	3	Yes	Female	Yes	Yes	Plan to go, haven’t been	5	4	7	6	4
12/4/2020 15:01:10	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Time, Variety of activities at destination	Variety of activities at destination	Yes	Buenos Aires		Tried food, met new people, saw different city parts	2	7	Porto Alegre		had food, walked around, went to a shopping centre	2	1	A relaxing day at the beach	3	Yes	Female	Yes	Yes	Have been to Fuengirola and Barcelona and going to Buenos Aires	6	4	7	6	2
12/4/2020 15:04:54	To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To go on an adventure	Budget, Time, Variety of activities at destination, Aesthetic of destination	Aesthetic of destination	No	Somniani Beach, Pakistan		Relax	4	7	Chillas, Pakistan		Sleep	5	4	A relaxing day at the beach	4	Yes	Male	No	No		7	6	6	4	3
12/4/2020 15:23:26	To go on an adventure	Proximity to other destinations	Aesthetic of destination	Yes	Jordania	It was so different from the other places I´ve been to. 	Safari in desert, sleeping in at a beduin-camp	4	6	Paris	It was too big, to much to chose from, to see which made it difficult to handle.	Visit a church	2	3	An old city with interesting architecture	4	Yes	Male	Yes	Yes	Beirut	5	6	6	3	5
12/4/2020 15:33:38	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, Discover new cuisines	Budget, Time, Variety of activities at destination, Aesthetic of destination, Travel group size	Variety of activities at destination	Yes	Budapest	Had a blast with friend, never stopped doing stuff and have twice more to do	Visit historical locations, party, eat stuff	5	7	None	-	-	1	4	An old city with interesting architecture	5	Yes	Male	Yes	Yes	Lund - Sweden	7	2	5	7	1
12/4/2020 16:05:01	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Proximity to nature	Yes	Neelum Valley, Kashmir, Pakistan	Proximity to nature	Hiking and spent quality time with friends	5	6	Dubai, UAE	Infrastructural tourism	Shopping, cruising, other recreatioa activities	5	5	An old city with interesting architecture	5	Yes	Female	No	No		7	6	5	5	6
12/4/2020 16:14:29	To spend quality time with family/friends, To explore architecture and history, To go on an adventure	Budget, Time, Proximity to nature	Budget	Yes	Kitzbühl in Austria	I love skiing and the beauty of the alps.	Skiing	5	7	Croatia	It was a boring trip and we didn't do a lot.	Swimming, laying on the beach, not really doing very much. 	3	2	An old city with interesting architecture	2	Yes	Male	Yes	No		3	6	2	4	4
12/4/2020 16:24:42	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Variety of activities at destination	Yes	Curacao	Beautiful turquoise sea, warm weather and sunny	Spending time with family, combining laying on the beach and scuba diving in the coral reefs (chill and activity)	4	7	London	Only large city activities such as shopping and museeums, rainy and cold, bad hotel	Shopping, museeums	4	4	An overnight backpacking trip on a volcano	4	No	Female	Yes	No		5	6	6	7	4
12/4/2020 17:02:44	To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To look at and appreciate beautiful places	Proximity to other destinations, Time, Variety of activities at destination, Aesthetic of destination	Aesthetic of destination	No	Malam Jabba, Pakistan	Lots of activities to choose from	Skiing, snow hike	5	7	Toli Peer			5	7	An all-inclusive resort	5	Yes	Male	Yes	No		7	7	7	7	1
12/4/2020 17:09:06	To meet new people, To see the wonders of nature, To learn more about a language or a culture	Budget, Variety of activities at destination, Proximity to nature	Variety of activities at destination	Yes	Vietnam	New experience	Hiking, city walks, cooking class	2	7	Vienna	To Similar to places I have been before in	City walks and lots of food	3	4	An overnight backpacking trip on a volcano	3	Yes	Female	Yes	Yes	Los Angeles	6	5	4	5	4
12/4/2020 17:12:10	To relax and escape work and responsibilities, To spend quality time with family/friends, To go on an adventure	Budget, Proximity to other destinations, Time, Aesthetic of destination, Travel group size	Time	No	Margalla Hills, Pakistan	Good for One Day tour. Lesser time	Eating, Hiking	5	5	Hunza	It did cost a lot of time , 5 days atleast.	Traveling, Eating, 		3	An overnight backpacking trip on a volcano	5	Yes	Male	No	No		5	2	5	6	3
12/4/2020 18:29:18	To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Proximity to other destinations, Time, Proximity to nature, Aesthetic of destination	Budget	Yes	Nathia gali	Serene peaceful no rush 	Sip tea while looking at mountains	5	6	Katas raj temple	Crowded with ill mannered men they harassed our family 	Wait for it to be over	5	2	A relaxing day at the beach	2	Yes	Female	Yes	No		5	6	3	3	7
12/4/2020 18:57:15	To see the wonders of nature, To spend quality time with family/friends, To go on an adventure	Budget, Proximity to other destinations, Proximity to nature	Budget	Yes	Algonquin Park	It was beautiful to look at and I haven't travelled many exciting places tbh	Hike, spend time with friends	3	7	Niagara Falls	There was a lot to do but I don't think I really had fun for most of it	Spend time with friends, had dinner out, went to a club, walked around	4	4	An old city with interesting architecture	3	Yes	Female	Yes	No		2	5	2	6	6
12/4/2020 19:04:01	To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To look at and appreciate beautiful places	Budget, Proximity to nature, Aesthetic of destination	Aesthetic of destination	Yes	Vienna	Beautiful architecture and cool history	Sightseeing	2	6	Cologne	Not much to see except for the cathedral	Sightseeing	2	4	An old city with interesting architecture	4	Yes	Male	Yes	No		4	6	3	5	6
12/4/2020 19:04:47	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To spend quality time with family/friends, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Time, Variety of activities at destination, Proximity to nature	Variety of activities at destination	Yes	Italy	Because it was a very varying trip with many different destinations and activities!:)	Went swimming, went on a boat trip, went to a wine tasting, made a roadtrip by bicycle, visited historical buildings and churches, ate at fancy and less fancy restaurants	2	7	Greece	Because we had all-inclusive and did not explore so much. However, it was nice for relaxation.	Went to the beach, stayed at the hotel by the pool, drank drinks, relaxed	2	5	An old city with interesting architecture	4	Yes	Female	Yes	No		6	5	4	6	3
12/4/2020 19:12:25	To learn more about a language or a culture, To go on an adventure, To climb	Budget, Time, Travel group size	Time	Yes	Siurana 	I like climbing	Climb	4	7	Dubrovnik 	Too many people	One day sightseeing, then left quickly. 	1	2	An overnight backpacking trip on a volcano	1	Yes	Male	No	Yes	Japan	7	5	3	6	3
12/4/2020 20:01:32	To learn more about a language or a culture, To explore architecture and history, To go on an adventure	Budget, Variety of activities at destination, Aesthetic of destination	Variety of activities at destination	Yes	Stockholm, Sweden	The variety of things to do, the history and architecture, and the food	Went on a walking tour, went drinking, visited several museums, ate a ton	4	7	Athens, Greece	Overcrowded, dirty, difficult to navigate	Visited family, saw historical landmarks, ate plenty of food	4	4	An old city with interesting architecture	3	Yes	Male	Yes	Yes	Malmö, Sweden 	7	4	6	5	3
12/4/2020 20:36:47	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination, Proximity to nature	Variety of activities at destination	Yes	South Africa	Tons of things to do. A lot of culture and history to learn and see. Also full of adventures, for example hikes, sports, safari, vineyards and much more.	Visiting vineyards, safari, surfing, hiking, Robben island, road tripps, zip line.	4	7	Hard to say, maybe some trip to Denmark or Norway 	Too similar to Sweden and the fact that I could have done the same activities in some other, more exciting, country.	Weekend with the family with restaurant visits, shopping and sightseeing.	4	4	An overnight backpacking trip on a volcano	5	Yes	Male	Yes	Yes	Stellenbosch University in South Africa	6	5	7	6	3
12/4/2020 21:26:08	To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Variety of activities at destination	Yes	Iceland	Beautiful nature, way of traveling (roadtrip through the whole country with a jeep), staying at personal B&B, escape from busy city life and appreciate the wonders of planet Earth	Visiting waterfalls, hiking, driving through rivers, climbing a glacier with special equipment, eating local food	5	7	Rome	Only spend one day here, city was too overwhelming to decide what to do, very busy	visiting coloseum, forum romanum, eating pizza	5	3	An overnight backpacking trip on a volcano	5	Yes	Female	Yes	Yes	Lund, Sweden	5	6	4	6	4
12/4/2020 21:36:40	To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Proximity to other destinations, Time, Proximity to nature, Aesthetic of destination	Budget	Yes	Lebanon	I met some of my family members for the first time	Swim, eat, walk, explore the city, meet new people.	4	7	Toronto	There was nothing to do	Eat, walk, 	4	2	An overnight backpacking trip on a volcano	5	Yes	Female	Yes	No		6	5	3	5	6
12/4/2020 21:57:32	To see the wonders of nature, To learn more about a language or a culture, To explore architecture and history, To go on an adventure	Proximity to other destinations, Time	Time	Yes	Vietnam	Food and culture	Eat food, visit historical locations, explore nature.	1	7	Cuba	Terrible food and is in dire need of an upgrade.	Scuba dive, beach activities, relax.	3	3	An overnight backpacking trip on a volcano	2	Yes	Female	No	No		6	6	5	6	4
12/4/2020 22:15:18	To spend quality time with family/friends	Budget, Time	Budget	Yes	El Salvador	My home country	See my family and go on trips with them, but the main reason of the trip was to see them again.	3	7						An all-inclusive resort	4	Yes	Male	Yes	No		4	5	3	6	6
12/4/2020 22:17:23	To meet new people, To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Proximity to other destinations, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Variety of activities at destination	Yes	Mexico City	Great food, close to the mountains, inexpensive, friendly people	Hiking, museums, street food 	1	7	Disneyland	Expensive, unexciting, crowded, inorganic	A few rides. overpriced bad food, waited in line	3	1	An overnight backpacking trip on a volcano	3	Yes	Male	Yes	No		6	7	5	5	4
12/4/2020 22:21:39	To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Budget	Yes	Scotland	It was very beautiful with nice nature landscapes but also filled with culture 	Eat new foods, went to see nice landscapes  and went shopping	2	7	Quebec City	Filled with history I’m tired of hearing and nothing to do	Went to see historic sites and took walks along the scenery 	4	3	An all-inclusive resort	4	Yes	Female	Yes	No		7	5	3	5	3
12/4/2020 23:19:40	To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To go on an adventure, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Time, Variety of activities at destination, Proximity to nature	Budget	Yes	colombia	family is there	go shopping, go to turistic places, go to restaurants, relax, visit family	4	7	I dont have one					An all-inclusive resort	4	Yes	Female	Yes	No		6	6	7	5	4
12/5/2020 8:51:28	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Time, Variety of activities at destination, Travel group size	Variety of activities at destination	Yes	Vancouver	Lots of different activities to do and nice scenery around the city	hike, run around Stanley Park, visit cafes, go to the beach, walk around downtown	5	7						An overnight backpacking trip on a volcano	5	Yes	Female	Yes	Yes	Lund, Sweden	7	5	3	6	3
12/5/2020 9:48:01	To go on an adventure	Proximity to nature	Proximity to nature	Yes	Brazil	It's Beautiful	Relax, Beach, 	2	6	Brampton	Immigration Issues	Visit Family 	1	4	An overnight backpacking trip on a volcano	4	Yes	Male	No	No		6	3	4	4	4
12/5/2020 12:05:20	To meet new people, To relax and escape work and responsibilities, To go on an adventure, To look at and appreciate beautiful places	Proximity to other destinations, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Aesthetic of destination	No	Islamabad 	The beauty and peace of the city 	Hiking, site seeing 	5	7	None					An overnight backpacking trip on a volcano	5	Yes	Female	No	Yes	Lahore 	7	2	5	5	5
12/5/2020 15:43:40	To relax and escape work and responsibilities, To spend quality time with family/friends, To go on an adventure	Budget, Proximity to other destinations, Time, Aesthetic of destination, Travel group size	Time	No	Margalla Hills, Pakistan	Good for One Day tour. Lesser time	Eating, Hiking	5	5	Hunza	It did cost a lot of time , 5 days atleast.	Traveling, Eating, 		3	An overnight backpacking trip on a volcano	5	Yes	Male	No	No		5	2	5	6	3
12/5/2020 20:51:06	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination, Travel group size	Travel group size	Yes	Kyoto Japan	Great food and fun times with my friends. Lots of history too	Eat currry, look at temples, take photographs by nature, had the best hot dog ever	2	7						An overnight backpacking trip on a volcano	2	Yes	Male	Yes	Yes	Singapore 	5	7	3	6	4
12/6/2020 1:02:50	To learn more about a language or a culture	Time, Aesthetic of destination, Safety	Time	Yes	Bergen, Norway	Unique city next to a mountain	hiking, making food, exploring new areas, had couple chats with locals, drinking	5	7	London	Food wasn't that good there + very expensive	I won a free flight ticket from a lottery	4	4	A relaxing day at the beach	4	Yes	Male	Yes	Yes		5	6	3	6	3
