Main Reason to Travel,Most Important Factor for Trip Planning,Favorite Activity,Most Appealing Destination,Ideal Group Size,Gender,Student,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Recommendation,
To learn more about a language or a culture; To spend quality time with family/friends; To explore architecture and history,Variety of activities at destination,Explore; Culture; Swim,An old city with interesting architecture,5,Female,Yes,5,5,7,3,4,Tunisia,Morocco/Tunisia/Senegal
To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure; To look at and appreciate beautiful places,Time,Friends; Chill; Tourist Attractions; Food,A relaxing day at the beach,4,Male,Yes,6,6,4,6,2,United Kingdom,United Kingdom/Ireland
To see the wonders of nature; To explore architecture and history,Aesthetic of destination,Museum; Sightsee; Shows; Theatre; Walk; University,An old city with interesting architecture,4,Female,Yes,5,6,3,5,3,United Kingdom,United Kingdom/Ireland
To learn more about a language or a culture; To relax and escape work and responsibilities; To look at and appreciate beautiful places,Time,City; History; Sport Venues; Food; Pub; Nearby Towns; Tubing; ,An old city with interesting architecture,4,Male,Yes,3,4,6,6,5,United Kingdom,United Kingdom/Ireland
To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Variety of activities at destination,Art Gallery; Museum,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,4,5,3,United Kingdom,United Kingdom/Ireland
To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Variety of activities at destination,Food; Sightsee; Explore; Motorcycle; Hike; Photography; Clubbing,An overnight backpacking trip on a volcano,4,Male,Yes,6,7,5,6,2,Vietnam,Vietnam/Cambodia/Thailand
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Budget,Food; Beach; Nature; Explore,An all-inclusive resort,4,Male,Yes,6,6,6,6,6,Vietnam,Vietnam/Cambodia/Thailand
To meet new people; To see the wonders of nature; To relax and escape work and responsibilities; To go on an adventure,Time,Food,A relaxing day at the beach,3,Male,Yes,5,3,3,6,3,Vietnam,Vietnam/Cambodia/Thailand
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Variety of activities at destination,Bike; Food; Sightsee; Party; Shop,A big metropolitan city,4,Female,Yes,5,5,6,5,5,Vietnam,Vietnam/Cambodia/Thailand
To meet new people; To see the wonders of nature; To learn more about a language or a culture,Variety of activities at destination,Hike; City; Walk; Cooking Class,An overnight backpacking trip on a volcano,3,Female,Yes,6,5,4,5,4,Vietnam,Vietnam/Cambodia/Thailand
To see the wonders of nature; To learn more about a language or a culture; To explore architecture and history; To go on an adventure,Time,Food; History; Nature,An overnight backpacking trip on a volcano,2,Female,No,6,6,5,6,4,Vietnam,Vietnam/Cambodia/Thailand
